Club,Position,Age,Appearances,Wins,Losses,Shots,Shots on target,Big chances missed,Tackles,Interceptions,Clearances,Recoveries,Duels won,Duels lost,Passes,Big chances created,Crosses,Yellow cards,Red cards,Fouls,Offsides,Goals,Assists,Name
2,1,28.0,47,13,19,67.0,19.0,3.0,38.0,21.0,32.0,0.0,0.0,0.0,728,4.0,29.0,3,0,26,18.0,5,4,José Izquierdo
2,1,20.0,26,8,12,43.0,16.0,5.0,8.0,0.0,3.0,0.0,0.0,0.0,161,1.0,9.0,0,0,17,16.0,4,1,Aaron Connolly
2,1,27.0,26,5,14,20.0,9.0,3.0,11.0,3.0,13.0,0.0,0.0,0.0,177,0.0,5.0,5,1,30,4.0,4,0,Florin Andone
2,1,22.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,Viktor Gyökeres
3,2,28.0,74,28,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2124,0.0,0.0,4,0,1,0.0,0,0,Nick Pope
3,2,23.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,Bailey Peacock-Farrell
3,2,27.0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,Will Norris
3,0,31.0,172,49,83,0.0,0.0,0.0,415.0,317.0,697.0,732.0,796.0,601.0,5463,18.0,428.0,35,0,144,1.0,2,12,Matthew Lowton
3,0,27.0,74,23,33,0.0,0.0,0.0,111.0,86.0,186.0,377.0,411.0,285.0,2249,3.0,238.0,8,0,39,3.0,0,2,Charlie Taylor
3,0,27.0,123,48,50,0.0,0.0,0.0,202.0,166.0,691.0,472.0,861.0,442.0,3839,7.0,15.0,24,0,119,12.0,5,3,James Tarkowski
3,0,31.0,166,49,77,0.0,0.0,0.0,240.0,260.0,1082.0,911.0,986.0,624.0,6088,7.0,70.0,36,0,118,6.0,4,4,Ben Mee
3,0,32.0,194,61,79,0.0,0.0,0.0,538.0,354.0,620.0,899.0,1142.0,892.0,6880,17.0,455.0,34,0,300,5.0,1,11,Erik Pieters
3,0,35.0,300,100,130,0.0,0.0,0.0,728.0,423.0,1081.0,1154.0,1395.0,990.0,9247,17.0,660.0,78,2,327,5.0,7,5,Phil Bardsley
3,0,30.0,35,8,14,0.0,0.0,0.0,63.0,34.0,214.0,130.0,236.0,160.0,1038,4.0,2.0,1,0,28,1.0,1,3,Kevin Long
3,0,22.0,1,0,1,0.0,0.0,0.0,0.0,2.0,8.0,3.0,9.0,2.0,25,0.0,0.0,0,0,1,0.0,1,0,Jimmy Dunne
3,0,19.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,Bobby Thomas
3,0,20.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,Anthony Driscoll-Glennon
3,3,31.0,264,96,105,137.0,42.0,6.0,466.0,400.0,477.0,1565.0,1312.0,1335.0,11059,11.0,151.0,32,0,211,13.0,8,9,Jack Cork
3,3,29.0,96,28,44,114.0,37.0,1.0,93.0,91.0,90.0,386.0,313.0,369.0,1750,12.0,439.0,5,0,41,6.0,7,17,Jóhann Gudmundsson
3,3,24.0,11,5,3,8.0,0.0,1.0,15.0,19.0,17.0,52.0,52.0,42.0,368,0.0,3.0,2,0,8,0.0,0,0,Josh Brownhill
3,3,20.0,61,23,25,75.0,20.0,2.0,83.0,43.0,59.0,0.0,0.0,0.0,1509,17.0,377.0,7,0,45,1.0,5,12,Dwight McNeil
3,3,28.0,142,37,77,155.0,42.0,1.0,241.0,136.0,214.0,578.0,596.0,572.0,3280,23.0,724.0,15,1,117,13.0,9,12,Robbie Brady
3,3,30.0,222,65,106,137.0,34.0,5.0,336.0,321.0,241.0,1309.0,586.0,616.0,9880,39.0,657.0,38,0,195,2.0,9,25,Ashley Westwood
3,3,20.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,Josh Benson
3,1,28.0,105,35,43,172.0,81.0,36.0,28.0,7.0,62.0,0.0,0.0,0.0,1535,8.0,25.0,4,0,84,117.0,36,4,Chris Wood
3,1,30.0,155,45,71,276.0,104.0,28.0,103.0,33.0,111.0,0.0,0.0,0.0,2475,11.0,62.0,32,2,269,92.0,38,6,Ashley Barnes
3,1,31.0,178,53,71,378.0,140.0,35.0,154.0,82.0,113.0,0.0,0.0,0.0,2835,14.0,134.0,11,0,156,99.0,41,12,Jay Rodriguez
3,1,28.0,57,11,30,37.0,20.0,10.0,10.0,5.0,13.0,0.0,0.0,0.0,359,4.0,11.0,1,0,9,10.0,6,5,Matej Vydra
4,2,25.0,71,39,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006,0.0,0.0,2,0,0,0.0,0,0,Kepa Arrizabalaga
4,2,38.0,33,19,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,798,0.0,0.0,0,0,0,0.0,0,0,Willy Caballero
4,0,27.0,80,45,21,0.0,0.0,0.0,93.0,72.0,252.0,522.0,341.0,289.0,5738,5.0,18.0,14,0,73,3.0,5,1,Antonio Rüdiger
